Australia;Canada;France;Italy;Japan;Norway;UnitedKingdom;UnitedStates
11.38980823;11.55683947;11.9785445;NA;NA;NA;11.8241385;13.87768692
11.40818698;11.55783908;11.99337435;NA;NA;NA;11.84640752;13.87949424
11.40816477;11.56670554;12.00579076;NA;NA;NA;11.85453449;13.88836596
11.41293937;11.56921128;12.01817557;NA;NA;NA;11.86101567;13.87768692
11.42458593;11.56345697;12.03034927;NA;NA;NA;11.8493977;13.90489412
11.42768343;11.59347266;12.04131592;NA;NA;NA;11.86281444;13.91054797
11.45972509;11.62088036;12.05676024;NA;NA;NA;11.87787409;13.91849575
11.45665137;11.63282404;12.06450908;NA;NA;NA;11.87897731;13.92128849
11.44455026;11.62813853;12.07196966;NA;NA;NA;11.87891489;13.93901055
11.46693388;11.65660148;12.08886444;NA;NA;NA;11.90387236;13.96244239
11.46113731;11.65685047;12.10204458;NA;NA;NA;11.906291;13.97197998
11.4718847;11.68185567;12.11822455;NA;NA;NA;11.92341791;13.98830773
11.49763922;11.70881292;12.13768673;NA;NA;NA;11.97414059;14.01358242
11.50039731;11.71904086;12.15198598;NA;NA;NA;11.9781615;14.02508243
11.50869654;11.72248314;12.16597955;NA;NA;NA;11.97017941;14.01973629
11.53526409;11.74282018;12.17957465;NA;NA;NA;11.96843075;14.02922984
11.53588976;11.75260553;12.19904803;NA;NA;NA;11.94346035;14.02040867
11.51028197;11.76056844;12.2057726;NA;NA;NA;11.96222243;14.02297178
11.52681851;11.76070894;12.21493327;NA;NA;NA;11.97219039;14.01302856
11.52469592;11.76452819;12.19683006;NA;NA;NA;11.95998667;14.00908111
11.52853303;11.76273626;12.19075594;NA;NA;NA;11.96262434;13.99685247
11.55989493;11.77039701;12.18790867;NA;NA;NA;11.94651145;14.00445596
11.55028868;11.78457914;12.18831592;NA;NA;NA;11.94492214;14.02116201
11.53361985;11.79272152;12.20692228;NA;NA;NA;11.95898854;14.03414395
11.57870384;11.81057891;12.21478459;NA;NA;NA;11.97524338;14.05663154
11.58095788;11.83099912;12.2314967;NA;NA;NA;11.9673712;14.06410741
11.58959017;11.83522995;12.24245279;NA;NA;NA;11.97690473;14.06900871
11.59611706;11.83642825;12.24865309;NA;NA;NA;11.99752826;14.07623887
11.58998835;11.85261217;12.26179113;NA;NA;NA;11.99909768;14.08778707
11.60554111;11.85708947;12.26495457;NA;NA;NA;11.99433258;14.1074523
11.60093634;11.86184668;12.27592515;NA;NA;NA;12.00203908;14.12518037
11.59822204;11.87771787;12.28395918;NA;NA;NA;12.01578948;14.12497858
11.60492107;11.88893258;12.29122688;NA;NA;12.45985791;12.02042356;14.12838512
11.61315986;11.89645337;12.30640203;NA;NA;12.47822348;12.02982461;14.16697696
11.6282076;11.90491012;12.31690715;NA;NA;12.49523986;12.0404784;14.17672767
11.63778562;11.91407126;12.32804246;NA;NA;12.48344677;12.04776249;14.18986332
11.66464176;11.92370808;12.33367399;NA;NA;12.48827724;12.03922672;14.19152969
11.64801564;11.93667407;12.34372802;NA;NA;12.4747095;12.0809175;14.19247331
11.65765764;11.94361313;12.34870004;NA;NA;12.52148539;12.05698081;14.19963285
11.67676902;11.94973096;12.35253816;NA;NA;12.5374067;12.06710364;14.2023873
11.68070006;11.95888291;12.36578639;NA;18.06697104;12.55794709;12.05778143;14.20560819
11.68363823;11.95670222;12.3599047;NA;18.06168239;12.54392964;12.039776;14.18489934
11.69007534;11.95635248;12.35926143;NA;18.08382523;12.52875741;12.03787882;14.18303147
11.70622817;11.96752195;12.35869502;NA;18.10484539;12.54935734;12.02682636;14.20136802
11.71060351;11.99219386;12.36188765;12.21273788;18.11094425;12.55194697;12.02005627;14.22192522
11.72561456;12.00143493;12.36581197;12.21468595;18.123116;12.55154356;12.02210774;14.21391748
11.74486224;11.99434957;12.37215048;12.21514895;18.12091462;12.54305904;12.03558677;14.22599637
11.7410884;11.98920623;12.38104644;12.22323266;18.12822128;12.54649066;12.03569349;14.21346419
11.73370623;11.9793618;12.38629617;12.22283735;18.14340665;12.54573977;12.03940394;14.19690494
11.73974226;11.96954936;12.39486075;12.21999157;18.15023166;12.54677165;12.0519653;14.20231938
11.73338542;11.96070425;12.39480279;12.21945655;18.154585;12.5462345;12.05199446;14.19845735
11.71826343;11.95136748;12.40068091;12.21654463;18.16838544;12.54803336;12.05724776;14.19924117
11.70827018;11.96666632;12.40293382;12.2193384;18.16901843;12.56160143;12.07176953;14.2115985
11.70558507;11.98940185;12.40483334;12.21813359;18.17651431;12.58355657;12.07936364;14.23382608
11.73785143;11.99990604;12.40626686;12.23658461;18.19136915;12.58409461;12.09123963;14.25336218
11.75135952;12.01192949;12.41151648;12.25851047;18.1996668;12.58721091;12.10302612;14.27382109
11.77456639;12.02933994;12.41779927;12.25654741;18.21111583;12.61032368;12.11237716;14.29303273
11.78293733;12.04650231;12.41873749;12.25976189;18.2261453;12.61636276;12.10537347;14.31014582
11.79017834;12.05074836;12.4244167;12.27146778;18.23829098;12.63250637;12.11000218;14.31980993
11.80249326;12.0675646;12.42530857;12.27162821;18.24001551;12.63468446;12.12407052;14.32792991
11.8170811;12.08123478;12.42819167;12.2773292;18.26422604;12.66441163;12.13527994;14.33732063
11.83788887;12.08403918;12.43648571;12.29045156;18.28427379;12.65515903;12.15073962;14.34574167
11.85599021;12.09940989;12.44340309;12.29842981;18.29727449;12.6814431;12.15068149;14.36124473
11.85938339;12.11622726;12.44956377;12.30507564;18.31047127;12.6827291;12.15747046;14.36880642
11.86199657;12.11277656;12.45123989;12.3112881;18.31443984;12.6816793;12.17245898;14.3783782
11.85667828;12.12149195;12.46189634;12.31773539;18.31197993;12.67765628;12.1838117;14.38238565
11.86177084;12.12414107;12.46842922;12.32766714;18.31782071;12.70061644;12.18929265;14.39198346
11.87224192;12.11853431;12.46964003;12.33176463;18.32567669;12.7073054;12.20588263;14.39680396
11.88248702;12.14006505;12.47177364;12.33585251;18.32495945;12.68429553;12.21134373;14.40232453
11.89869794;12.15241076;12.48392027;12.35088281;18.34569881;12.7182913;12.22182788;14.41290371
11.91330433;12.16864982;12.49004786;12.35376507;18.36550413;12.68790294;12.24356109;14.42154636
11.93066164;12.18195924;12.50454257;12.36446754;18.39092644;12.70937806;12.25289898;14.43850348
11.93666916;12.19715677;12.51579014;12.37907739;18.41451804;12.7093962;12.26938542;14.44366578
11.94364238;12.20883757;12.5239735;12.38541;18.41305676;12.69513414;12.27409104;14.4564298
11.95721377;12.21161849;12.53764719;12.39846408;18.43512098;12.70079023;12.28788302;14.46157923
11.96995783;12.22002979;12.54753953;12.41033235;18.44560431;12.70403185;12.29498971;14.47484239
11.97869514;12.23055426;12.56161545;12.41652518;18.47222711;12.72645149;12.29870196;14.48418573
11.99313311;12.23508154;12.56882856;12.42083982;18.45908382;12.74562274;12.30497183;14.49163873
11.99888241;12.23708064;12.57538194;12.43121023;18.47642926;12.74983776;12.30597228;14.49954131
12.00308093;12.23846965;12.58894785;12.44144904;18.50694146;12.75983419;12.3071254;14.50172124
12.00638924;12.2456779;12.59735769;12.44542729;18.50217225;12.75440501;12.31541124;14.51211426
12.00729238;12.24149529;12.59795932;12.44847049;18.53322519;12.75931387;12.32065947;14.51608012
12.00640145;12.23505725;12.60363326;12.45007265;18.54985356;12.75696478;12.30871046;14.51606772
12.00627934;12.22658336;12.60058802;12.44355562;18.54795196;12.7814071;12.30297247;14.50726928
11.99942356;12.21137979;12.60432178;12.45350617;18.55662694;12.7868347;12.30206895;14.50241328
11.99223565;12.21403461;12.61039043;12.45891321;18.56842164;12.79053156;12.29872931;14.50913263
11.99810707;12.21760959;12.61041713;12.46543245;18.56620561;12.79198255;12.29493481;14.51333429
12.00102684;12.22129125;12.61564597;12.47043138;18.5732046;12.78935195;12.29600475;14.51724576
12.00912058;12.21983008;12.62398332;12.47489225;18.57351341;12.81646302;12.29734742;14.5281662
12.01939361;12.22267531;12.62261616;12.47060156;18.5770114;12.82949186;12.29495311;14.53873825
12.02623999;12.22641557;12.62309405;12.46631972;18.57818693;12.84085156;12.29989991;14.54900762
12.04367136;12.23024561;12.61813594;12.46231286;18.57179152;12.83263655;12.3053839;14.55946967
12.05384179;12.23762339;12.61139441;12.46020142;18.5829926;12.82398969;12.31148616;14.56130948
12.0606653;12.24410395;12.61135107;12.45851221;18.57664699;12.84374147;12.31603854;14.56768108
12.05826845;12.25037538;12.61371538;12.45612345;18.56944121;12.86646417;12.3246376;14.57293451
12.0759184;12.25942975;12.61620352;12.46354501;18.57572188;12.88749132;12.33322939;14.5860585
12.09621314;12.2743631;12.62000514;12.46931985;18.58226459;12.89994456;12.34386308;14.59574099
12.10441637;12.28922858;12.63147763;12.47760994;18.58262526;12.91805385;12.35799084;14.60932852
12.11579777;12.30321183;12.63910428;12.48594105;18.59174796;12.90874185;12.37182434;14.6157505
12.12043305;12.31214628;12.6487115;12.49543468;18.58419084;12.94230805;12.3791348;14.62679627
12.12470531;12.32135366;12.65174516;12.50566181;18.59317227;12.93258448;12.38258989;14.62924794
12.13443163;12.32132916;12.65859944;12.50559763;18.60132736;12.94772424;12.38768979;14.63139515
12.15214958;12.3215263;12.65942592;12.51231691;18.61061264;12.97502279;12.3990621;14.63976275
12.15743897;12.3259313;12.65957208;12.51927976;18.60869751;12.97811418;12.40395582;14.6467117
12.17363726;12.32722002;12.66538811;12.52456107;18.6182523;12.99204282;12.41350949;14.653537
12.17582476;12.33120417;12.66613957;12.51835235;18.62815274;12.99658018;12.41756458;14.67068092
12.18903838;12.34292601;12.66970917;12.52100027;18.62994867;13.03023054;12.42410315;14.67933889
12.19796487;12.35282963;12.67027511;12.51783356;18.64445929;13.01090877;12.43194846;14.69019774
12.19881135;12.36251855;12.67479107;12.52553144;18.65325409;13.04018973;12.44015614;14.69785146
12.22609584;12.37399203;12.68575739;12.53822123;18.64522491;13.05820025;12.44838333;14.71257769
12.22629675;12.38725397;12.69431825;12.54271059;18.64044921;13.06124301;12.45835938;14.72504854
12.24354183;12.39585484;12.7034239;12.55216751;18.6433974;13.0750642;12.47022761;14.73269089
12.25446273;12.40854501;12.71242327;12.55027921;18.62467899;13.06843715;12.4779416;14.7420882
12.26103894;12.41114693;12.72278988;12.55344236;18.62024753;13.08435409;12.48438597;14.75104494
12.28039595;12.42211101;12.72865687;12.55559158;18.6240005;13.0654247;12.49298692;14.76415231
12.29681788;12.43849006;12.73402379;12.55072309;18.62623979;13.07095218;12.50361099;14.781315
12.30225517;12.45402588;12.73995735;12.55573229;18.61874297;13.06805924;12.50879603;14.7901834
12.30726549;12.4656407;12.74980873;12.56054879;18.62464637;13.06924526;12.51676543;14.79796349
12.31651771;12.47970397;12.75986005;12.56831253;18.62226005;13.09143808;12.52947412;14.81060323
12.33278899;12.49607453;12.77362542;12.58199548;18.62887207;13.10159316;12.54033172;14.82841063
12.34377595;12.50962407;12.78537341;12.59208758;18.64746366;13.11575157;12.55154356;14.83101294
12.34851794;12.5208989;12.79329526;12.59863941;18.64896387;13.11065308;12.56125798;14.8503396
12.34963172;12.53329149;12.79722309;12.60865141;18.64988489;13.1201369;12.56611491;14.85117417
12.3464431;12.53594278;12.80750194;12.61926041;18.65992951;13.12341482;12.57027816;14.85706737
12.35884094;12.54020912;12.8133705;12.62594416;18.66453866;13.12453302;12.58185144;14.8537711
12.36530042;12.54165073;12.81320977;12.62241414;18.6584985;13.13187203;12.58411174;14.86030883
12.37757337;12.54014468;12.81581104;12.62004772;18.64689518;13.14046456;12.58860002;14.85756131
12.38768979;12.54866984;12.81146454;12.61966786;18.6425659;13.14593341;12.5919573;14.86108241
12.39609779;12.56076099;12.81851398;12.62228569;18.64571131;13.14207188;12.59961024;14.86963964
12.4090339;12.56662145;12.82345047;12.62650522;18.65364214;13.15760696;12.60347198;14.87493147
12.41495093;12.57551499;12.82702809;12.62773673;18.66128949;13.14401723;12.610307;14.8799109
12.42290029;12.58296337;12.82718931;12.6296697;18.66221337;13.15319128;12.61609734;14.88011784
12.42277953;12.58728434;12.82973308;12.6274257;18.65852373;13.14799019;12.62222379;14.8841618
12.43437487;12.58601138;12.82891002;12.62341237;18.66478214;13.15589293;12.63137306;14.89210727
12.45060971;12.58914387;12.83677511;12.62678411;18.671937;13.16237032;12.63866318;14.90873335
12.46222535;12.5980649;12.84356704;12.63071431;18.6857548;13.16163986;12.64791147;14.91768317
12.47075346;12.60490413;12.84793706;12.63649917;18.69718097;13.18798818;12.65742211;14.92470004
12.47361961;12.6167019;12.85492044;12.64008138;18.69465979;13.19484031;12.66307652;14.93178266
12.48082144;12.62739798;12.85873892;12.64359756;18.70053406;13.18239865;12.66403849;14.93909997
12.48776054;12.63418926;12.86647967;12.64194723;18.69622906;13.19106821;12.67209335;14.94774297
12.4979621;12.63757986;12.86988885;12.64193558;18.70324141;13.19806251;12.67537916;14.95766913
12.50269712;12.64482181;12.87297595;12.64782254;18.71514483;13.20340866;12.68255835;14.96192045
12.51576447;12.65497951;12.87857825;12.65042861;18.72190804;13.21239785;12.68877345;14.96949448
12.52252073;12.66482256;12.88434981;12.65377744;18.7246095;13.21357791;12.69584214;14.9746455
12.52405354;12.67564728;12.89072132;12.66019941;18.72410482;13.20412952;12.70648726;14.98767531
12.52796047;12.67667922;12.90113549;12.66590664;18.73633693;13.22011059;12.70932668;14.99127677
12.53625011;12.67781305;12.90166683;12.67024986;18.74011254;13.22751407;12.71431694;14.99153903
12.55151524;12.6836142;12.90782024;12.68085028;18.74521125;13.24131906;12.72244983;14.99882392
12.56850846;12.69008858;12.91604744;12.68258376;18.75559194;13.23946173;12.73209915;15.0010113
12.58150801;12.69818476;12.92079784;12.68317636;18.76015027;13.24067427;12.73768571;15.00898596
12.58531013;12.7037302;12.92725806;12.68518732;18.75894031;13.2545401;12.74301328;15.014609
12.59248405;12.70871967;12.92913051;12.68088076;18.76283644;13.26519712;12.74578306;15.02174331
12.60237255;12.70703504;12.93412837;12.68518051;18.76510131;13.25611425;12.75074592;15.01992327
12.60456349;12.70681915;12.92758374;12.67854027;18.75845017;13.25953588;12.74801314;15.02140651
12.60851318;12.7077551;12.92565239;12.66737575;18.74606766;13.25250001;12.73899239;15.01121175
12.60121802;12.69986223;12.9094028;12.64710875;18.7189993;13.25417554;12.71794372;14.99368082
12.60835603;12.68164745;12.89454642;12.61785784;18.67435893;13.24879336;12.69430597;14.981205
12.61368877;12.67452272;12.89596704;12.61495925;18.69748638;13.23726226;12.68730364;14.97944231
12.61684365;12.6767448;12.89879474;12.61942314;18.69661464;13.24174691;12.68471386;14.98340012
12.62722408;12.6888043;12.90438397;12.61879789;18.70509059;13.2429815;12.68885058;14.99562603
12.63384378;12.7029791;12.90615323;12.62309834;18.71723924;13.24524097;12.69216183;15.00478588
12.64572015;12.70792236;12.91233347;12.62765545;18.72097698;13.24604189;12.70420505;15.00878888
